GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,point_total,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10,cgp,wins,losses,winpercent,cgp_away,wins_away,losses_away,winpercen_away,hometeam-homewins,hometeam-awaywins,awayteam-homewins,awayteam-awaywins,avgpointtotal_home,avgpointtotal_away,meanpointtotal
2020-02-25,1610612757,1610612738,2019,106.0,118.0,224.0,115.9,117.4,116.15,110.65,58,26,32,0.448,56,39,17,0.696,16,10,23,16,229.08,221.48,225.28
2020-02-25,1610612744,1610612758,2019,94.0,112.0,206.0,107.9,119.05,112.85,114.4,57,12,45,0.211,56,23,33,0.411,7,5,12,11,221.24,217.48,219.36
2020-02-24,1610612739,1610612748,2019,125.0,119.0,244.0,109.55,117.7,112.55,109.25,56,15,41,0.268,56,36,20,0.643,7,8,23,13,218.0,215.56,216.78
2020-02-24,1610612755,1610612737,2019,129.0,112.0,241.0,106.65,107.6,115.85,121.4,57,35,22,0.614,58,17,41,0.293,26,9,11,6,213.28,220.32,216.8
2020-02-24,1610612764,1610612749,2019,134.0,137.0,271.0,114.6,119.95,120.2,108.75,55,20,35,0.364,56,48,8,0.857,13,7,26,22,216.64,222.16,219.39999999999998
2020-02-24,1610612751,1610612753,2019,113.0,115.0,228.0,110.85,108.6,105.2,108.4,55,26,29,0.473,56,24,32,0.429,16,10,15,9,210.04,208.8,209.42000000000002
2020-02-24,1610612745,1610612752,2019,123.0,112.0,235.0,116.8,114.8,105.6,111.95,56,36,20,0.643,56,17,39,0.304,19,17,8,9,226.36,211.72,219.04000000000002
2020-02-24,1610612742,1610612750,2019,139.0,123.0,262.0,115.45,113.05,113.95,119.5,57,34,23,0.596,55,16,39,0.29100000000000004,15,19,7,9,222.84,224.64,223.74
2020-02-24,1610612762,1610612756,2019,111.0,131.0,242.0,115.95,111.6,108.4,111.25,56,36,20,0.643,57,23,34,0.404,20,16,11,12,211.28,219.52,215.4
2020-02-24,1610612746,1610612763,2019,124.0,97.0,221.0,116.4,114.0,114.65,111.6,56,37,19,0.6609999999999999,56,28,28,0.5,22,15,16,12,225.04,215.4,220.22
2020-02-23,1610612747,1610612738,2019,114.0,112.0,226.0,118.55,110.6,115.25,109.9,54,42,12,0.778,55,39,16,0.7090000000000001,19,23,23,16,224.48,221.48,222.98
2020-02-23,1610612761,1610612754,2019,127.0,81.0,208.0,117.1,108.85,110.3,109.55,56,41,15,0.732,56,33,23,0.589,22,19,19,14,220.84,208.16,214.5
2020-02-23,1610612743,1610612750,2019,128.0,116.0,244.0,112.9,110.05,113.4,118.3,56,38,18,0.679,54,16,38,0.29600000000000004,21,17,7,9,218.4,224.64,221.51999999999998
2020-02-23,1610612741,1610612764,2019,126.0,117.0,243.0,106.55,112.8,114.8,119.4,57,19,38,0.333,54,20,34,0.37,11,8,13,7,205.16,216.64,210.89999999999998
2020-02-23,1610612760,1610612759,2019,131.0,103.0,234.0,114.65,109.15,113.9,112.35,56,34,22,0.607,55,24,31,0.436,18,16,14,10,221.08,217.48,219.28
2020-02-23,1610612744,1610612740,2019,101.0,115.0,216.0,108.05,118.85,121.95,117.85,56,12,44,0.214,56,24,32,0.429,7,5,11,13,219.44,226.76,223.1
2020-02-23,1610612757,1610612765,2019,107.0,104.0,211.0,115.6,118.3,107.35,109.55,57,25,32,0.439,58,19,39,0.328,15,10,11,8,230.12,221.0,225.56
2020-02-22,1610612746,1610612758,2019,103.0,112.0,215.0,117.55,114.0,113.0,115.25,55,37,18,0.6729999999999999,55,22,33,0.4,22,15,12,10,225.12,217.48,221.3
